A1;Codigouf;Codigomunicipio;Nome;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36;A37;A38;A39;A40;A41;A42;A43;A44;A45;A46;A47;A48;A49;A50;A51;A52;A53;A54;A55;A56;A57;A58;A59;A60
1100015;11;15;ALTA FLORESTA DOESTE;Não possui estrutura;-;Sim;2010;2010;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-
1100023;11;23;ARIQUEMES;Setor subordinado a outra secretaria;Ensino superior completo;Sim;2006;Não foi atualizado;-;Sim, com legislação específica;2010;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2010;Sim, com legislação específica;2010;Não;-;Sim, com legislação específica;2003;Sim, com legislação específica;2006;Sim, com legislação específica;2006;Sim, com legislação específica;2009;Sim, com legislação específica;2006;Sim, com legislação específica;2006;Sim, com legislação específica;1986;Sim, com legislação específica;2006;Sim, com legislação específica;2008;Sim, com legislação específica;2007;Sim, com legislação específica;2008;Sim, com legislação específica;2008;Sim, com legislação específica;2007;Não;-
1100031;11;31;CABIXI;Setor subordinado a outra secretaria;Ensino superior completo;Não;-;-;Sim;Não;-;Não;-;Sim, com legislação específica;2000;Sim, com legislação específica;2000;Sim, com legislação específica;2000;Não;-;Sim, com legislação específica;1999;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;2014;Não;-;Não;-
1100049;11;49;CACOAL;Secretaria municipal em conjunto com outras políticas;Ensino superior completo;Sim;2006;2011;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2012;Sim, com legislação específica;1985;Sim, com legislação específica;1985;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2009;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1985;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Sim, com legislação específica;2013
1100056;11;56;CEREJEIRAS;Secretaria municipal em conjunto com outras políticas;Ensino médio completo;Sim;2014;Não foi atualizado;-;Não;-;Não;-;Sim, com legislação específica;1977;Sim, com legislação específica;2013;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;1988;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;1993;Não;-
1100064;11;64;COLORADO DO OESTE;Secretaria municipal exclusiva;Ensino superior completo;Sim;2006;2006;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2006;Sim, com legislação específica;2006;Sim, com legislação específica;2006;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2009;Não;-;Não;-;Sim, com legislação específica;2009;Não;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;1987;Sim, com legislação específica;1987;Não;-
1100072;11;72;CORUMBIARA;Secretaria municipal exclusiva;Ensino superior completo;Não;-;-;Sim;Não;-;Não;-;Sim, com legislação específica;2003;Sim, com legislação específica;2008;Não;-;Não;-;Sim, com legislação específica;2009;Não;-;Não;-;Sim, com legislação específica;1993;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
1100080;11;80;COSTA MARQUES;Setor subordinado a outra secretaria;Ensino médio completo;Não;-;-;Não;Sim, com legislação específica;1983;Sim, com legislação específica;1990;Sim, com legislação específica;1983;Sim, com legislação específica;1983;Sim, com legislação específica;1989;Sim, com legislação específica;1990;Sim, com legislação específica;2005;Não;-;Não;-;Sim, com legislação específica;1983;Sim, com legislação específica;1983;Sim, com legislação específica;1990;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Sim, com legislação específica;1983
1100098;11;98;ESPIGAO D'OESTE;Secretaria municipal exclusiva;Ensino superior completo;Sim;2006;2013;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2008;Sim, com legislação específica;2008;Sim, como parte integrante do Plano Diretor;-;Sim, como parte integrante do Plano Diretor;-;Sim, com legislação específica;2008;Sim, com legislação específica;2008;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-;Não;-;Não;-;Não;-;Não;-;Sim, como parte integrante do Plano Diretor;-
1100106;11;106;GUAJARA-MIRIM;Secretaria municipal exclusiva;Ensino superior completo;Não;-;-;Sim;Sim, com legislação específica;1987;Não;-;Sim, com legislação específica;1987;Sim, com legislação específica;1987;Sim, com legislação específica;1987;Não;-;Sim, com legislação específica;1987;Não;-;Não;-;Sim, com legislação específica;1987;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-;Não;-
