A1;Codigouf;Codigomunicipio;Nome;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14
1100015;11;15;ALTA FLORESTA DOESTE;917;772;68;76;0;1;Não;-;-;-;-;-;-
1100023;11;23;ARIQUEMES;2560;2136;0;199;197;28;Sim;4;4;0;0;0;0
1100031;11;31;CABIXI;282;219;24;36;0;3;Não;-;-;-;-;-;-
1100049;11;49;CACOAL;2075;1615;118;218;0;124;Não;-;-;-;-;-;-
1100056;11;56;CEREJEIRAS;656;539;43;72;0;2;Não;-;-;-;-;-;-
1100064;11;64;COLORADO DO OESTE;572;452;61;39;0;20;Não;-;-;-;-;-;-
1100072;11;72;CORUMBIARA;413;359;10;34;0;10;Não;-;-;-;-;-;-
1100080;11;80;COSTA MARQUES;592;528;0;59;0;5;Não;-;-;-;-;-;-
1100098;11;98;ESPIGAO D'OESTE;879;602;73;126;0;78;Não;-;-;-;-;-;-
1100106;11;106;GUAJARA-MIRIM;1310;994;220;96;0;0;Sim;3;1;0;2;0;0
1100114;11;114;JARU;1624;1073;102;449;0;0;Não;-;-;-;-;-;-
1100122;11;122;JI-PARANA;3193;2252;39;635;36;231;Sim;12;12;0;0;0;0
1100130;11;130;MACHADINHO D'OESTE;1214;995;168;39;0;12;Não;-;-;-;-;-;-
1100148;11;148;NOVA BRASILANDIA D'OESTE;705;628;32;45;0;0;Não;-;-;-;-;-;-
1100155;11;155;OURO PRETO DO OESTE;1365;1100;130;118;0;17;Sim;13;11;0;2;0;0
1100189;11;189;PIMENTA BUENO;1141;0;1062;79;0;0;Não;-;-;-;-;-;-
1100205;11;205;PORTO VELHO;13030;12151;49;570;106;154;Sim;92;26;43;14;4;5
1100254;11;254;PRESIDENTE MEDICI;705;510;89;101;0;5;Não;-;-;-;-;-;-
1100262;11;262;RIO CRESPO;283;202;12;62;0;7;Não;-;-;-;-;-;-
1100288;11;288;ROLIM DE MOURA;1545;1381;128;36;0;0;Não;-;-;-;-;-;-
1100296;11;296;SANTA LUZIA D'OESTE;388;318;28;25;17;0;Não;-;-;-;-;-;-
1100304;11;304;VILHENA;2868;1994;159;536;0;179;Sim;75;56;0;19;0;0
