DRE;CODESC;TIPOESC;NOMESC;DIRETORIA;SUBPREF;CEU;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CODCIE;EH;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_FUNC;DT_AUTORIZA;NOME_ANT;T2D3D;T2D3D15;T2D3D14;T2D3D13;T2D3D12;T2D3D11;T2D3D10;T2D3D09;T2D3D08;T2D3D07;DTURNOS;DTURNOS15;DTURNOS14;DTURNOS13;DTURNOS12;DTURNOS11;DTURNOS10;DTURNOS09;DTURNOS08;DTURNOS07;LATITUDE;LONGITUDE;REDE;DATABASE
G;000086;EMEI;PAULO CAMILHIER FLORENCANO;GUAIANASES;GUAIANASES;;RUA FELICIANO DE MENDONÇA;502;JARDIM SÃO PAULO(ZONA LESTE);08460365;25578348;25571947;25571947;Ativa;31;GUAIANASES;3103;35098711;098711;161078110000000;13/06/1988;26.134;13/06/1988;22/09/1988;16/03/1991;;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MIV;-23553905;-46398452;DIR;28/02/2017
FO;000094;EMEI;VICENTE PAULO DA SILVA;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;;RUA DOUTOR FLEURY SILVEIRA;295;VILA SANTA MARIA;02563010;39813227;;;Ativa;50;LIMAO;5002;35098361;098361;161070158000000;04/07/1988;26.314;04/07/1988;01/08/1988;16/03/1991;;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MIV;-23489728;-46670198;DIR;28/02/2017
MP;000108;EMEF;JOSE ERMIRIO DE MORAIS, SEN.;SAO MIGUEL;SAO MIGUEL;;RUA SAO BRAS DO SUACUI;159;JARDIM HELENA;08090290;25865294;25811484;;Ativa;44;JARDIM HELENA;4402;35098760;098760;161077116000000;05/07/1988;26.312;05/07/1988;01/09/1988;13/03/2001;VILA NITRO OPERARIA;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MTN;MTN;MTN;MTN;-23478312;-46427344;DIR;28/02/2017
BT;000191;EMEF;ALIPIO CORREA NETO, PROF.;BUTANTA;BUTANTA;;AVENIDA JOAO CAIAFFA;140;JARDIM TABOAO;05742100;58450121;;58450121;Ativa;94;VILA SONIA;9404;35098462;098462;161079154000000;27/05/1988;26.003;27/05/1988;02/10/1988;16/03/1991;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23612237;-46749888;DIR;28/02/2017
PJ;000205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;PIRITUBA;PIRITUBA;;RUA BENEDITO PEREIRA;206;JARDIM LIBANO;05138120;39067057;39067229;;Ativa;63;PIRITUBA;6301;35079029;079029;161071138000000;22/06/1988;26.229;22/06/1988;19/09/1988;16/03/1991;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MTN;MTN;MTN;MTN;MTN;MTN;-23486142;-46733901;DIR;28/02/2017
BT;000213;EMEI;ANTONIO CARLOS PACHECO E SILVA, PROF.;BUTANTA;BUTANTA;;AVENIDA JOÃO CAIAFFA;90;JARDIM TABOÃO;05742100;58448902;;58425113;Ativa;94;VILA SONIA;9404;35098504;098504;161079153000000;07/06/1988;26.117;07/06/1988;26/09/1988;13/03/2001;;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MIV;-23611929;-46750176;DIR;28/02/2017
FO;000221;EMEI;NAIR CORREA BUARQUE;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;;RUA SANTA ANGELA;51;VILA PALMEIRAS;02727000;39316339;;39329355;Ativa;29;FREGUESIA DO O;2910;35098425;098425;161070140000000;22/06/1988;26.231;22/06/1988;17/08/1988;13/03/2001;INSTALADA JUNTO A EMPG ELIAS S. CAVALCANTI;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23498613;-46685953;DIR;28/02/2017
JT;000230;EMEI;MARIA YOLANDA DE SOUZA PINTO HAHNE, DA.;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;;RUA GASTAO MADEIRA;340;VILA MARIA ALTA;02131080;2955-9902;29676624;;Ativa;89;VILA MARIA;8906;35098395;098395;161069185000000;13/07/1988;26.395;13/07/1988;16/02/1989;07/11/1992;PARQUE SHIBA;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23506186;-46585236;DIR;28/02/2017
JT;000248;EMEI;WALFRIDO DE CARVALHO, CEL.;JACANA/TREMEMBE;JACANA/TREMEMBE;;RUA VICENTE QUEROL;200;JARDIM SÃO JOÃO (ZONA NORTE);02365008;29956872;;;Ativa;81;TREMEMBE;8104;35098383;098383;161069129000000;16/09/1988;26.915;16/09/1988;02/03/1989;07/11/1992;JARDIM MARTINS SILVA;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23437360;-46585072;DIR;28/02/2017
CL;000256;EMEI;WILMA ALVARENGA DE OLIVEIRA, PROFA.;CAMPO LIMPO;CAMPO LIMPO;;RUA INTEGRADA;395;COHAB INSTITUTO ADVENTISTA;05868670;58217976;58216627;;Ativa;19;CAPAO REDONDO;1905;35098656;098656;161072157000000;21/09/1988;26.938;21/09/1988;24/04/1989;09/03/1991;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23665048;-46777627;DIR;28/02/2017
